"BirdID","PopDensity.all","PopDensity.old"
1042,308,278
1494,366,260
2978,366,313
1678,366,313
1801,333,284
1750,333,284
1710,335,315
1864,335,315
1698,335,315
1731,335,315
1852,335,315
3453,313,284
1762,313,284
2960,313,284
2991,313,284
2966,313,284
1869,294,267
3089,294,267
2986,294,267
3694,294,267
1826,294,267
1729,275,256
1722,275,256
1669,275,256
1605,275,256
1707,333,270
1607,333,270
1821,333,270
1763,333,270
2990,384,317
3451,384,317
3595,384,317
3567,384,317
3462,384,317
3087,384,317
3456,384,317
3094,384,317
3518,384,317
3608,389,332
3490,389,332
4803,389,332
4860,389,332
3643,389,332
5009,389,332
3497,389,332
3519,389,332
3699,357,325
4885,357,325
4883,357,325
4964,357,325
2968,357,325
3594,357,325
3606,357,325
4939,393,349
1877,393,349
4965,393,349
4954,393,349
4999,393,349
4896,393,349
5000,393,349
3486,393,349
3085,393,349
4892,393,349
5163,357,326
4861,357,326
4941,357,326
4933,357,326
4957,357,326
4961,357,326
5249,361,329
5267,361,329
5072,361,329
1824,361,329
4947,361,329
5217,330,304
4890,330,304
5290,330,304
5195,330,304
5285,330,304
1819,330,304
5262,330,304
4904,330,304
5333,347,294
5292,347,294
5235,347,294
5319,347,294
5237,347,294
5508,347,294
5532,347,294
5525,347,294
5447,347,294
4887,347,294
5323,347,294
5275,347,294
5519,347,294
5321,347,294
5197,347,294
5559,273,270
5549,273,270
5334,273,270
5538,273,270
5573,273,270
5338,273,270
5450,273,270
5453,273,270
5497,273,270
5541,334,290
5510,334,290
5520,334,290
5527,334,290
5326,334,290
5533,334,290
5584,334,290
5513,334,290
5537,334,290
5539,334,290
5542,334,290
5283,334,290
5683,334,290
5291,334,290
5456,334,290
5313,334,290
5607,334,290
5575,334,290
5582,334,290
5511,334,290
5613,334,290
5337,334,290
5516,334,290
5518,334,290
5626,334,290
5521,334,290
5604,334,290
5523,334,290
5462,334,290
5562,334,290
5498,334,290
5612,334,290
5608,334,290
5605,334,290
5514,334,290
5621,334,290
5642,334,290
5545,334,290
5522,334,290
5530,334,290
5586,331,294
5339,331,294
5638,331,294
5639,331,294
5776,331,294
5585,331,294
5765,331,294
5779,331,294
5536,331,294
5529,331,294
5828,331,294
5597,331,294
5588,331,294
5774,331,294
5606,331,294
5534,331,294
5685,331,294
5561,331,294
5648,331,294
5634,331,294
5837,331,294
5847,331,294
5590,331,294
5625,331,294
5658,331,294
5653,331,294
5682,331,294
5678,331,294
5773,275,261
5624,275,261
5595,275,261
5842,275,261
5749,275,261
5785,275,261
5630,275,261
5686,275,261
6013,319,301
5652,319,301
5123,319,301
5827,319,301
5787,319,301
5832,319,301
5831,319,301
5771,319,301
5848,319,301
5852,319,301
5777,319,301
5778,319,301
5618,319,301
5784,319,301
6017,319,301
5657,319,301
5782,319,301
5904,319,301
5838,319,301
5824,319,301
5766,319,301
5823,319,301
5643,319,301
5775,319,301
5641,319,301
6014,319,301
5844,319,301
5903,319,301
5835,319,301
5830,319,301
5849,319,301
5636,319,301
5768,319,301
5826,319,301
5902,319,301
5822,267,265
5834,267,265
6029,267,265
5825,267,265
5821,267,265
6015,267,265
5905,267,265
5851,267,265
5772,267,265
5820,267,265
5833,267,265
6031,267,265
5750,267,265
5769,267,265
5770,267,265
5901,267,265
6027,267,265
1660,267,265
6030,267,265
5780,267,265
6037,304,288
6024,304,288
5855,304,288
5846,304,288
6023,304,288
5839,304,288
6048,304,288
5854,304,288
6018,304,288
5829,304,288
5173,304,288
6028,304,288
6009,304,288
6021,304,288
5906,304,288
6010,304,288
5853,304,288
6181,304,288
5650,304,288
6034,304,288
6020,304,288
6062,304,288
5841,247,242
6050,247,242
6196,247,242
6067,247,242
6033,247,242
5596,247,242
5850,247,242
5843,247,242
6180,247,242
5908,391,291
5748,391,291
6141,391,291
6016,391,291
6153,391,291
6026,391,291
6312,391,291
6047,391,291
6160,391,291
6065,391,291
6011,391,291
5517,364,338
6166,364,338
6158,364,338
5909,364,338
6239,364,338
6175,364,338
6012,364,338
6219,364,338
6149,364,338
6565,364,338
6185,364,338
6150,364,338
6213,364,338
6230,364,338
6138,364,338
6273,364,338
6240,364,338
6147,364,338
6209,364,338
6205,364,338
6170,364,338
6140,364,338
6566,364,338
6142,364,338
6045,364,338
6268,364,338
6660,330,267
6221,330,267
6169,330,267
6309,330,267
6549,330,267
6272,330,267
6155,330,267
6552,330,267
6267,330,267
6556,330,267
6199,330,267
6382,269,252
6564,269,252
6261,269,252
6385,269,252
6378,269,252
6560,269,252
6573,269,252
6384,269,252
6548,269,252
6546,269,252
6279,269,252
6557,269,255
6554,269,255
6374,269,255
6568,269,255
6563,269,255
6186,269,255
6690,269,255
5543,263,235
6313,263,235
6645,263,235
6673,263,235
5600,263,235
6697,311,265
6693,311,265
6764,298,283
6857,298,283
6571,353,306
6836,353,306
6845,353,306
7080,341,317
7094,341,317
7077,341,317
7097,341,317
7074,341,317
6780,341,317
6900,341,317
7079,341,317
6777,292,285
7084,292,285
6831,292,285
6877,292,285
6865,292,285
6926,292,285
7096,292,285
7086,292,285
6884,260,255
7116,260,255
6863,260,255
7071,260,255
7131,260,255
7091,260,255
6859,260,255
6886,260,255
7132,260,255
7144,260,255
6910,260,255
6909,260,255
7133,260,255
